Gene	Num
CCER1	19
KCTD8	19
CFAP43	19
NCOA6	19
FLT4	19
DPY19L2	19
PIK3C2G	19
MYOF	19
DOCK11	19
TTBK1	19
SLC4A3	19
SERPINB4	19
OR8J1	19
PROX1	19
RTN1	19
ANKHD1-EIF4EBP3	19
CEMIP2	19
NPY2R	19
HCRTR2	19
OR2A2	19
GPR101	19
COL5A3	19
PRKG1	19
IL1RAPL2	19
GPRASP2	19
FLT3	19
LILRA1	19
ZSCAN1	19
CES5A	19
CORIN	19
ZNF33A	19
DCLK3	19
FRMPD2	19
F13B	19
FGA	19
OR6N2	19
UGT2A1	19
WDR64	19
RIMS1	19
MPPED2	19
SPTBN4	19
AGL	19
IMPG2	19
NTM	19
VEGFC	19
DRD5	19
BRCA1	19
PHLDB2	19
TGIF2LX	19
NOL4	19
ADGRA3	19
DPYD	19
ENOX1	19
ABCA6	19
PSG11	19
SP140	19
OR6Y1	19
SMARCA2	19
CEP170	19
SYT4	19
FOXG1	19
OTOA	19
KNTC1	19
SOX5	19
UNC5C	19
GLDC	19
LMX1A	19
OR2M7	19
GPRASP1	19
ZIM2	19
DIO2	19
NCKAP1L	19
SALL4	19
MNDA	19
ZNF236	19
CTNNB1	19
PTPN13	19
PLXNA3	19
PRAMEF19	19
OR8K3	19
SIPA1L1	19
HOXB3	19
ATP7B	19
ST8SIA6	19
KIF19	19
KCTD3	19
BEND2	19
GDF10	19
CD5L	19
DLGAP1	19
CR2	19
ATP1A2	19
CD1E	19
GBP4	19
ZIM3	19
BNC1	19
DNER	19
CEP128	19
GPC6	19
TMTC3	19
OR52R1	18
OR10K2	18
GPR139	18
PIEZO2	18
SLC45A2	18
INPP4B	18
ABCC12	18
TRIOBP	18
OR4K2	18
NOBOX	18
ABCA2	18
ZNF334	18
ADAMTS7	18
MAGI1	18
CNTN4	18
SMARCA1	18
NME8	18
ABCB4	18
VPS13A	18
TNS1	18
LAMC3	18
TRIP12	18
CPXCR1	18
NRP2	18
COL20A1	18
LAMB3	18
LMO7	18
ZNF578	18
ARHGEF17	18
ZNF835	18
OR10A2	18
DNAJC6	18
VN1R2	18
DPYS	18
PCDH11Y	18
GABRA1	18
OR51D1	18
CCSER1	18
OGT	18
LRRN3	18
TRIM48	18
VGLL3	18
HECTD1	18
SULF2	18
DOCK7	18
AKAP4	18
PIK3AP1	18
ABCC8	18
HAS2	18
C8B	18
CHAT	18
CNGA2	18
GJA8	18
SERPINA9	18
KIR2DL1	18
OR2T2	18
PLXNB2	18
NHS	18
KLHL38	18
SPTBN5	18
ITPR3	18
SLC4A8	18
EYA1	18
NPC1L1	18
KRT6B	18
OR5B12	18
XIRP1	18
COL4A4	18
SV2C	18
SLC4A1	18
RPTN	18
GABRA3	18
CCDC39	18
GLRA2	18
SRGAP3	18
SVIL	18
LUM	18
C2orf78	18
TAF1	18
ZZEF1	18
PEAK1	18
ANKRD26	18
ZMYM3	18
TBX5	18
OR4L1	18
OR2T27	18
C1orf94	18
TRIM29	18
MC5R	18
SLC10A2	18
OR4C13	18
CCDC73	18
LARP1	18
NUTM1	18
COL11A2	18
POF1B	18
PIK3R4	18
OR51A7	18
CPAMD8	18
ACACA	18
NOS2	18
TEX13A	18
PLEKHA7	18
SGCZ	18
